verdict,statement_originator,statement,statement_date,statement_source,id,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,clustering
half-true,Ron Johnson,"About 1.1 million people legally enter the U.S. each year as permanent residents -- ""65 percent of that is some kind of chain migration; 22 percent is diversity lottery, ‘asyling,’ refugees; only about 14, 15 percent has anything to do with work.""",2018-01-12,news,35,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,YourNewsWire.com,"Says Melania Trump hired exorcist to ""cleanse White House of Obama demons.""",2018-02-08,news,141,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Richard Corcoran,"Florida’s school marshal program passed by the Florida House is the ""first-of-its kind.""",2018-02-27,news,200,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Trey Blocker,Says the Texas Department of Agriculture didn’t notify over 700 Texas students about a computer hack releasing critical personal information including Social Security numbers until 32 days after the breach.,2018-01-24,speech,72,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Joy Reid,"""One-third of Floridians own guns. One-third.""",2018-02-14,social_media,157,19,0.09178743961352656,0.1834999812755121,0.005681682544809321,0.07804020288922123,0.4678362573099415
half-true,Donald Trump,"""Mostly Democrat states refused to hand over data"" that could show election fraud.",2018-01-04,social_media,12,7,0.033816425120772944,0.14174549451820995,0.0,0.02257570894416085,1.0
true,Brian Kemp,"In Georgia, ""25 percent of rural residents"" are ""without access to high speed internet.""",2018-02-07,campaign,136,2,0.00966183574879227,0.018186984938903097,0.00010162124978503195,3.941666078040458e-14,0.0
pants-fire,The Patriot Report,"""Bill Clinton’s hitman confesses on his deathbed.""",2018-01-08,news,21,26,0.12560386473429952,0.19726247987117554,0.0016280038806084985,0.20080252586156072,0.6184615384615385
false,Bloggers,"""Obama did in fact unconstitutionally spy on Trump throughout the presidential election.""",2018-02-01,news,117,27,0.13043478260869565,0.20948227950921294,0.008925380398703288,0.15590152598778573,0.39316239316239315
false,Jeanne Ives,"""Rauner made you pay for abortions in all nine months of pregnancy.""",2018-02-07,campaign,135,7,0.033816425120772944,0.12393454232744013,7.817019214233228e-06,0.003301321636572824,0.9523809523809523
false,Rahm Emanuel,"""Chicago now has the highest employment in the private sector in the history of the city.""",2018-01-09,radio,25,1,0.004830917874396135,0.016908212560386472,0.0,3.5398403929438556e-12,0.0
half-true,Stacey Abrams,"""The majority of Georgians incarcerated in local jails have never been convicted of crime. They are simply too poor to pay their bail.""",2018-02-14,campaign,159,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Donald Trump,"At the State of the Union address, Democrats, ""even on positive news … were like death and un-American. Un-American. Somebody said, ‘treasonous.’ I mean, yeah, I guess, why not? Can we call that treason? Why not?""",2018-02-05,speech,127,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Andrea Stewart-Cousins,"""New York consistently ranks as one of the worst voting turnout states in the nation.""",2018-01-23,news,69,8,0.03864734299516908,0.12458682939232138,8.379301329913401e-05,0.0033860676386770643,0.8214285714285714
false,Matt Gaetz,"The ""FBI was actively investigating Hillary Clinton's use of a private email server"" on Sept. 2, 2016.",2018-02-07,social_media,134,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
true,Dennis Kucinich,"Says Richard Cordray directed an Ohio commission to ""permit an armed group to have a rally on the statehouse grounds, even taking the extraordinary step of assuming personal responsibility for waiving an insurance requirement in the event of an incident.""",2018-02-27,speech,198,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Viral image,"In most states, you can buy an assault rifle with no proof of ID, but in every state, you need proof of ID to vote.",2018-02-18,blog,168,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-false,Jeff Greenfield,"""In the rest of the world, there have been 18 school shootings in the last twenty years. In the U.S., there have been 18 school shootings since January 1.""",2018-02-14,social_media,156,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Donald Trump,"""I authorized Zero access to White House (actually turned him down many times) for author of phony book! I never spoke to him for book.""",2018-01-04,social_media,13,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Donald Trump,"""Because of my policies, Black Unemployment has just been reported to be at the LOWEST RATE EVER RECORDED!""",2018-01-28,social_media,84,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
false,Michael Williams,Says Delta offers a discount to Planned Parenthood.,2018-02-27,news,199,11,0.05314009661835749,0.14794685990338163,5.656056905969165e-05,0.08441013354764107,0.8909090909090909
false,LoveThisPic.com,"""Smoking in cars with children is illegal starting January 30, 2018.""",2018-02-03,news,125,7,0.033816425120772944,0.13604308956632796,8.246546203503838e-05,0.01310244085599277,0.8095238095238095
half-true,Steve Cortes,"""We have right now, … in the state of California, 55 percent of all immigrants are on public assistance.""",2018-01-23,news,70,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
mostly-true,Donald Trump,"""African American unemployment is the lowest ever recorded in our country. The Hispanic unemployment rate dropped a full point in the last year and is close to the lowest in recorded history. Dems did nothing for you but get your vote!""",2018-01-08,social_media,20,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
half-true,Andrew White,"""There’s a large number of schools in Texas that don’t even offer sex education.""",2018-01-26,radio,80,2,0.00966183574879227,0.00966183574879227,0.0,8.679731736844026e-15,1.0
false,Ryan Zinke,"""Under the previous administration it was … $100 to fill a car. American energy has delivered. Now it's $60. That’s $40 you have in your pocket … that you wouldn’t have.""",2018-02-23,meeting,189,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
pants-fire,Tweets,"""If the Dow Joans ever falls more than 1000 ‘points’ in a Single Day the sitting president should be 'loaded' into a very big cannon and Shot into the sun at TREMENDOUS SPEED! No excuses!""",2018-02-05,social_media,130,0,0.0,0.0,0.0,2.982803748170958e-23,0.0
